acc,parity,deo,roc_val,acc_val,dataset,alpha,p_intra,p_inter,p_edge,p_feat,lambda_cl_fair,seed,time_sec
0.5079365372657776,0.0,0.0,0.5241935483870968,0.5079365372657776,nba,0,0.5,0.0,0.2,0.2,1.0,1,7.480906009674072
0.7777778506278992,0.13696807622909546,0.25,0.8608870967741936,0.7936508655548096,nba,0,0.5,0.0,0.2,0.2,1.0,2,8.265982866287231
0.7619048357009888,0.07446807622909546,0.08333337306976318,0.7883064516129032,0.6984127163887024,nba,0,0.5,0.0,0.2,0.2,1.0,3,9.150954008102417
0.7460317611694336,0.13696807622909546,0.375,0.7419354838709677,0.7301587462425232,nba,0,0.5,0.0,0.2,0.2,1.0,4,7.601092576980591
0.523809552192688,0.02173912525177002,0.0,0.37701612903225806,0.5079365372657776,nba,0,0.5,0.0,0.2,0.2,1.0,5,8.150294303894043
0.7777778506278992,0.05053189396858215,0.25,0.689516129032258,0.6984127163887024,nba,0,0.5,0.0,0.2,0.2,1.0,6,8.193544149398804
0.4761905074119568,0.04347825050354004,0.08333331346511841,0.36995967741935487,0.5079365372657776,nba,0,0.5,0.0,0.2,0.2,1.0,7,7.641995429992676
0.5079365372657776,0.03708440065383911,0.125,0.5685483870967742,0.5079365372657776,nba,0,0.5,0.0,0.2,0.2,1.0,8,8.599908113479614
0.523809552192688,0.021276652812957764,0.0,0.5524193548387096,0.5555555820465088,nba,0,0.5,0.0,0.2,0.2,1.0,9,8.921151876449585
0.5079365372657776,0.0,0.0,0.6602822580645161,0.5079365372657776,nba,5,0.5,0.0,0.2,0.2,1.0,1,7.678115606307983
0.682539701461792,0.21941488981246948,0.375,0.8508064516129032,0.7777778506278992,nba,5,0.5,0.0,0.2,0.2,1.0,2,8.123392105102539
0.7301587462425232,0.19946807622909546,0.3333333730697632,0.7842741935483871,0.6984127163887024,nba,5,0.5,0.0,0.2,0.2,1.0,3,8.18725061416626
0.7460317611694336,0.13696807622909546,0.375,0.7429435483870968,0.7301587462425232,nba,5,0.5,0.0,0.2,0.2,1.0,4,7.5832953453063965
0.523809552192688,0.02173912525177002,0.0,0.41229838709677424,0.5079365372657776,nba,5,0.5,0.0,0.2,0.2,1.0,5,8.146105766296387
0.7936508655548096,0.07180848717689514,0.2916666865348816,0.6895161290322581,0.6984127163887024,nba,5,0.5,0.0,0.2,0.2,1.0,6,8.042272806167603
0.4761905074119568,0.04347825050354004,0.08333331346511841,0.3558467741935484,0.5079365372657776,nba,5,0.5,0.0,0.2,0.2,1.0,7,7.6503942012786865
0.523809552192688,0.02173912525177002,0.0,0.5776209677419355,0.5079365372657776,nba,5,0.5,0.0,0.2,0.2,1.0,8,8.156328201293945
0.7301587462425232,0.16090422868728638,0.20833337306976318,0.778225806451613,0.6190476417541504,nba,5,0.5,0.0,0.2,0.2,1.0,9,7.951052904129028
0.523809552192688,0.05882352590560913,0.0,0.6723790322580645,0.5079365372657776,nba,10,0.5,0.0,0.2,0.2,1.0,1,7.858177185058594
0.7460317611694336,0.3058510422706604,0.4583333730697632,0.8497983870967742,0.7619048357009888,nba,10,0.5,0.0,0.2,0.2,1.0,2,8.151136636734009
0.6666666865348816,0.1981382966041565,0.3333333730697632,0.7973790322580645,0.6984127163887024,nba,10,0.5,0.0,0.2,0.2,1.0,3,7.830649375915527
0.7460317611694336,0.13696807622909546,0.375,0.7368951612903225,0.6984127163887024,nba,10,0.5,0.0,0.2,0.2,1.0,4,7.979421138763428
0.523809552192688,0.02173912525177002,0.0,0.36592741935483875,0.5079365372657776,nba,10,0.5,0.0,0.2,0.2,1.0,5,8.211047172546387
0.7619048357009888,0.11303189396858215,0.375,0.690524193548387,0.6984127163887024,nba,10,0.5,0.0,0.2,0.2,1.0,6,7.751816034317017
0.4920635223388672,0.02173912525177002,0.041666626930236816,0.3286290322580645,0.5079365372657776,nba,10,0.5,0.0,0.2,0.2,1.0,7,8.05392861366272
0.523809552192688,0.09590792655944824,0.125,0.5120967741935484,0.5079365372657776,nba,10,0.5,0.0,0.2,0.2,1.0,8,8.136237144470215
0.7142857313156128,0.18218082189559937,0.20833337306976318,0.78125,0.6190476417541504,nba,10,0.5,0.0,0.2,0.2,1.0,9,7.663743495941162
0.5079365372657776,0.0,0.0,0.37399193548387094,0.5079365372657776,nba,25,0.5,0.0,0.2,0.2,1.0,1,8.12902545928955
0.6984127163887024,0.24069148302078247,0.4166666865348816,0.8538306451612904,0.7777778506278992,nba,25,0.5,0.0,0.2,0.2,1.0,2,8.127675533294678
0.7460317611694336,0.13696807622909546,0.20833337306976318,0.7631048387096775,0.6984127163887024,nba,25,0.5,0.0,0.2,0.2,1.0,3,7.63245701789856
0.7142857313156128,0.13696807622909546,0.5,0.7348790322580645,0.6984127163887024,nba,25,0.5,0.0,0.2,0.2,1.0,4,8.160092830657959
0.5873016119003296,0.034526824951171875,0.08333337306976318,0.6784274193548387,0.5714285969734192,nba,25,0.5,0.0,0.2,0.2,1.0,5,8.225268840789795
0.7777778506278992,0.05053189396858215,0.25,0.684475806451613,0.7301587462425232,nba,25,0.5,0.0,0.2,0.2,1.0,6,7.733229398727417
0.4920635223388672,0.02173912525177002,0.041666626930236816,0.27620967741935487,0.5079365372657776,nba,25,0.5,0.0,0.2,0.2,1.0,7,8.178913116455078
0.5079365372657776,0.0,0.0,0.5423387096774194,0.5079365372657776,nba,25,0.5,0.0,0.2,0.2,1.0,8,8.175448179244995
0.6984127163887024,0.2845744490623474,0.5416666865348816,0.7862903225806451,0.7619048357009888,nba,25,0.5,0.0,0.2,0.2,1.0,9,7.725773572921753
0.5079365372657776,0.0,0.0,0.3891129032258065,0.5079365372657776,nba,50,0.5,0.0,0.2,0.2,1.0,1,8.147544622421265
0.7460317611694336,0.21808508038520813,0.5416666865348816,0.8538306451612903,0.7777778506278992,nba,50,0.5,0.0,0.2,0.2,1.0,2,8.187750577926636
0.682539701461792,0.17686167359352112,0.3333333730697632,0.7288306451612904,0.6984127163887024,nba,50,0.5,0.0,0.2,0.2,1.0,3,7.72404670715332
0.7301587462425232,0.19946807622909546,0.5,0.7439516129032258,0.6984127163887024,nba,50,0.5,0.0,0.2,0.2,1.0,4,8.182406902313232
0.5873016119003296,0.028132975101470947,0.0,0.872983870967742,0.6349206566810608,nba,50,0.5,0.0,0.2,0.2,1.0,5,8.274589776992798
0.7619048357009888,0.07180848717689514,0.25,0.6804435483870968,0.7301587462425232,nba,50,0.5,0.0,0.2,0.2,1.0,6,7.646434783935547
0.4920635223388672,0.02173912525177002,0.041666626930236816,0.27620967741935487,0.5079365372657776,nba,50,0.5,0.0,0.2,0.2,1.0,7,8.186515808105469
0.5079365372657776,0.11764705181121826,0.125,0.5191532258064516,0.5079365372657776,nba,50,0.5,0.0,0.2,0.2,1.0,8,8.13257098197937
0.7301587462425232,0.24202126264572144,0.5416666865348816,0.7741935483870968,0.7301587462425232,nba,50,0.5,0.0,0.2,0.2,1.0,9,7.789507865905762
0.694056510925293,0.030665099620819092,0.008860588073730469,0.7480605759122811,0.6793372631072998,pokec,0,0.5,0.0,0.2,0.2,1.0,1,20.146843433380127
0.678142249584198,0.02065187692642212,0.029904544353485107,0.7467095432554827,0.6832358837127686,pokec,0,0.5,0.0,0.2,0.2,1.0,2,20.415242433547974
0.6580058336257935,0.008820176124572754,0.023942530155181885,0.7050671840373821,0.6510721445083618,pokec,0,0.5,0.0,0.2,0.2,1.0,3,19.98505163192749
0.6589801907539368,0.0494384765625,0.05427122116088867,0.6980437238088236,0.652046799659729,pokec,0,0.5,0.0,0.2,0.2,1.0,4,20.16608476638794
0.6476128101348877,0.03266456723213196,0.05236244201660156,0.7236851778827837,0.6617933511734009,pokec,0,0.5,0.0,0.2,0.2,1.0,5,20.547691583633423
0.6596297025680542,0.010030865669250488,0.005514323711395264,0.7386028699179928,0.6617933511734009,pokec,0,0.5,0.0,0.2,0.2,1.0,6,19.963349103927612
0.6515101790428162,0.00010228157043457031,0.01600092649459839,0.755200043538579,0.6725146174430847,pokec,0,0.5,0.0,0.2,0.2,1.0,7,20.130850553512573
0.6797661185264587,0.023924410343170166,0.02860844135284424,0.7385551302481412,0.6725146174430847,pokec,0,0.5,0.0,0.2,0.2,1.0,8,20.492222785949707
0.6602792739868164,0.061861634254455566,0.09089195728302002,0.7094134035806662,0.6574074029922485,pokec,0,0.5,0.0,0.2,0.2,1.0,9,20.058082580566406
0.6502110958099365,0.008271872997283936,0.02092611789703369,0.7231672024648946,0.654483437538147,pokec,25,0.5,0.0,0.2,0.2,1.0,1,20.179445505142212
0.6823644042015076,0.0020813345909118652,0.002309441566467285,0.7807794360417322,0.6856725215911865,pokec,25,0.5,0.0,0.2,0.2,1.0,2,20.460384130477905
0.6521597504615784,0.021298646926879883,0.031200647354125977,0.752954846865461,0.6530214548110962,pokec,25,0.5,0.0,0.2,0.2,1.0,3,20.136940240859985
0.6852874159812927,0.020853668451309204,0.018687427043914795,0.7296349729363811,0.6856725215911865,pokec,25,0.5,0.0,0.2,0.2,1.0,4,20.13363003730774
0.6466385126113892,0.003015756607055664,0.015034765005111694,0.7327442576338118,0.6603313684463501,pokec,25,0.5,0.0,0.2,0.2,1.0,5,20.34014368057251
0.6755439639091492,0.011751502752304077,0.002026677131652832,0.7509989525916435,0.6754385828971863,pokec,25,0.5,0.0,0.2,0.2,1.0,6,20.140350103378296
0.6495615243911743,0.039614737033843994,0.056227147579193115,0.720310938017677,0.654483437538147,pokec,25,0.5,0.0,0.2,0.2,1.0,7,20.149061679840088
0.6784670352935791,0.0023089051246643066,0.027500927448272705,0.7341229792991243,0.6598440408706665,pokec,25,0.5,0.0,0.2,0.2,1.0,8,20.18779730796814
0.6839882731437683,0.025969982147216797,0.027218103408813477,0.7454377584506378,0.6666666865348816,pokec,25,0.5,0.0,0.2,0.2,1.0,9,20.179789543151855
0.6878856420516968,0.014305204153060913,0.026251912117004395,0.7067676710774939,0.6613060235977173,pokec,50,0.5,0.0,0.2,0.2,1.0,1,20.257343769073486
0.686261773109436,0.023793280124664307,0.016778647899627686,0.7731124450635749,0.6983430981636047,pokec,50,0.5,0.0,0.2,0.2,1.0,2,20.00005340576172
0.6518349647521973,0.014924228191375732,0.016495823860168457,0.7591447724584116,0.6510721445083618,pokec,50,0.5,0.0,0.2,0.2,1.0,3,20.314139366149902
0.6745696663856506,0.008789807558059692,0.03593730926513672,0.731941276386909,0.6666666865348816,pokec,50,0.5,0.0,0.2,0.2,1.0,4,20.38239622116089
0.6375446319580078,0.0023351311683654785,0.0004006624221801758,0.7318925819236605,0.6515594720840454,pokec,50,0.5,0.0,0.2,0.2,1.0,5,19.99927067756653
0.6882104277610779,0.017881780862808228,0.0144692063331604,0.7699277316877787,0.6915204524993896,pokec,50,0.5,0.0,0.2,0.2,1.0,6,20.130733728408813
0.6443650126457214,0.005612969398498535,0.008342146873474121,0.7573320971941486,0.6530214548110962,pokec,50,0.5,0.0,0.2,0.2,1.0,7,20.479019165039062
0.6947060227394104,0.018616795539855957,0.042441368103027344,0.7543693732831621,0.6793372631072998,pokec,50,0.5,0.0,0.2,0.2,1.0,8,20.245755910873413
0.6856122016906738,0.039775192737579346,0.035843074321746826,0.7476633818591164,0.6759259104728699,pokec,50,0.5,0.0,0.2,0.2,1.0,9,20.558494091033936
0.6619032025337219,0.018014967441558838,0.03216683864593506,0.7269090377878582,0.6535087823867798,pokec,100,0.5,0.0,0.2,0.2,1.0,1,20.45283317565918
0.6882104277610779,0.017935216426849365,0.006409764289855957,0.7796699661143823,0.705165684223175,pokec,100,0.5,0.0,0.2,0.2,1.0,2,20.109970092773438
0.6570314764976501,0.037957847118377686,0.030540823936462402,0.7621447333118824,0.6539961099624634,pokec,100,0.5,0.0,0.2,0.2,1.0,3,20.25506329536438
0.6784670352935791,0.02021881937980652,0.03669142723083496,0.7228549850240655,0.6769005656242371,pokec,100,0.5,0.0,0.2,0.2,1.0,4,20.555113792419434
0.6505358815193176,0.015411734580993652,0.011099278926849365,0.7425433022675388,0.6764132380485535,pokec,100,0.5,0.0,0.2,0.2,1.0,5,19.962454080581665
0.6674244403839111,0.0027843713760375977,0.017179250717163086,0.7305520519942292,0.6647173762321472,pokec,100,0.5,0.0,0.2,0.2,1.0,6,20.191547393798828
0.6472880840301514,0.0032082796096801758,0.005042970180511475,0.758832077620884,0.654483437538147,pokec,100,0.5,0.0,0.2,0.2,1.0,7,20.50608205795288
0.6680740118026733,0.01051950454711914,0.010250985622406006,0.7156601393807401,0.6530214548110962,pokec,100,0.5,0.0,0.2,0.2,1.0,8,20.10807704925537
0.6615784168243408,0.004442811012268066,0.022787749767303467,0.7316629541116746,0.6666666865348816,pokec,100,0.5,0.0,0.2,0.2,1.0,9,20.166611433029175
0.6755439639091492,0.001975536346435547,0.018616676330566406,0.731521644688914,0.6608186960220337,pokec,200,0.5,0.0,0.2,0.2,1.0,1,20.521785259246826
0.6755439639091492,0.03063488006591797,0.009732544422149658,0.7647732795339082,0.6807992458343506,pokec,200,0.5,0.0,0.2,0.2,1.0,2,19.96648073196411
0.6651510000228882,0.003570735454559326,0.011193573474884033,0.7113315835153011,0.6627680063247681,pokec,200,0.5,0.0,0.2,0.2,1.0,3,20.2021484375
0.6778174638748169,0.0016234517097473145,0.012631088495254517,0.7344347193432549,0.6764132380485535,pokec,200,0.5,0.0,0.2,0.2,1.0,4,20.394513607025146
0.6641766428947449,0.01239919662475586,0.0008247494697570801,0.7621623969897273,0.6734892725944519,pokec,200,0.5,0.0,0.2,0.2,1.0,5,20.027947187423706
0.6687235832214355,0.008766770362854004,0.00987386703491211,0.731756046467885,0.6608186960220337,pokec,200,0.5,0.0,0.2,0.2,1.0,6,20.84329390525818
0.6706722974777222,0.014711856842041016,0.01706141233444214,0.7689652999435717,0.6778752207756042,pokec,200,0.5,0.0,0.2,0.2,1.0,7,26.57134485244751
0.6810652613639832,0.01674717664718628,0.031153559684753418,0.7343187119455157,0.6559454202651978,pokec,200,0.5,0.0,0.2,0.2,1.0,8,20.24030613899231
0.6784670352935791,0.02493944764137268,0.044680118560791016,0.7370403505237518,0.6676413416862488,pokec,200,0.5,0.0,0.2,0.2,1.0,9,19.909276962280273
